eps,avg_N,max_N,avg_R,max_R,avg_ratio,max_ratio,max_S_prime,clusters_found
1.2000000000000004,10.415647256286574,21,1.4221661727162804,1.4629866424719355,17.097782839074476,62.24781408268482,6.724044740525246,132266
1.2100000000000004,10.424485194548765,25,1.4349890946984207,1.5945927903046395,16.79919110914598,63.274257487611166,7.988209845996984,149911
1.2200000000000004,10.434009910991218,23,1.4484596796749036,1.5974187366152375,16.50666014785786,62.23974112905306,8.01654843549551,168298
1.2300000000000004,10.444360376833068,21,1.461309317300963,1.4988827726682117,16.241351160993794,67.31975965647099,7.058057772369471,190323
1.2400000000000004,10.45934318754647,24,1.4747795359007982,1.673507836034352,15.96917269728283,58.0710775000502,8.79843384962071,213851
1.2500000000000004,10.470630957784838,25,1.4894149081273511,1.65446432089014,15.677351541974467,62.58900360712182,8.59933136829434,242330
1.2600000000000005,10.479848039808877,24,1.5026290423202768,1.7041626646934354,15.418769370913903,61.896167496521954,9.123720354881392,272703
1.2700000000000005,10.487198222758133,28,1.515594312286764,1.8342230901832557,15.167358891965174,62.275409014150696,10.569493724800106,305192
1.2800000000000005,10.501031265154923,24,1.5291724980583599,1.6517269082797637,14.917516896421857,61.49023003299303,8.570898668099098,342298
1.2900000000000005,10.514954517000138,26,1.543578293505002,1.874354128392665,14.662918032244171,61.50933568640867,11.037053987679538,381791
1.3000000000000005,10.528273983903704,24,1.5575939534165564,1.6702058728279399,14.420446376501813,62.463380233828936,8.76374809175184,426682
1.3100000000000005,10.539561531175641,26,1.5716149828116843,1.853738373777429,14.183413578676722,61.07760956961022,10.7955992181495,476157
1.3200000000000005,10.551208415407155,24,1.585466438973896,1.7927039078267624,13.952183862478922,66.4916451819797,10.096410575453252,531026
1.3300000000000005,10.566943520471632,26,1.6001773544678342,1.9434196430510926,13.7213614191032,62.40455475070513,11.865418175595346,591648
1.3400000000000005,10.580222300742626,28,1.6139450238936426,1.8693554178154188,13.507003848575707,62.026384063807505,10.978263100814145,656588
1.3500000000000005,10.590502536993542,26,1.627770063977853,1.9360858621137729,13.293443275799977,62.636054971206676,11.776035329648876,730195
1.3600000000000005,10.608413764706027,28,1.6427132488163607,2.0509365526998016,13.078632455829108,61.70130194197566,13.214609177333012,811147
1.3700000000000006,10.619548502115178,27,1.6565059586837911,1.938675928417705,12.875144952494423,61.828961748287306,11.807564007786208,898033
1.3800000000000006,10.635328582787384,36,1.6719419657925247,2.257561891898185,12.661483881413844,64.08428547342653,16.011396180161892,992307
1.3900000000000006,10.651018471331192,28,1.6862086984184252,2.0231326368587146,12.467822481168989,62.47653558699976,12.85874502798062,1096889
1.4000000000000006,10.66352887315447,29,1.700043255823149,2.0339067132945168,12.285231429773853,61.09427119647636,12.99606671969952,1210086
1.4100000000000006,10.680991340414435,27,1.7151293934391816,2.0795518596820055,12.091482289965642,62.512584361059155,13.585930330200052,966328
1.4200000000000006,10.689959294436907,22,1.7271519467059722,1.767281767464875,11.921488815669058,43.6874222507748,9.81208872604856,14740
1.4300000000000006,10.702995931451115,23,1.7435888239051462,1.9194467629315513,11.724263992941587,34.868415897814344,11.574494024986477,16222
1.4400000000000006,10.739690147124387,24,1.7611893780644907,1.9573306141264584,11.535999137250316,46.05107080991283,12.035891121473288,17944
1.4500000000000006,10.746880210175314,23,1.7739895720339882,1.8835580470272024,11.392175531798673,45.92837451123084,11.14571387981475,19793
1.4600000000000006,10.75774992933195,24,1.7896489768895136,2.019609597085279,11.187626688512545,35.93796476532996,12.8140001353394,21226
1.4700000000000006,10.78937697632681,28,1.8056387061288974,2.2920653151965933,11.027643853837034,44.24906159645734,16.504556211282345,23402
