eps,a_emp,a_pred,b_emp,b_pred,loc_emp,loc_pred,scale_emp,scale_pred,KS_emp,KS_formula_bp,KS_formula_ig
1.31,51.395553969007295,81.94870478916617,10.600385595051025,10.400316430358037,4.851170114269299,4.64360081819595,1.7395140464812828,1.1036436824174565,0.0038316616623820937,0.014624121997388828,0.039145772393305855
1.32,51.89650728850175,81.94870478916617,10.60650347159872,10.400316430358037,4.775148784701253,4.573509736057202,1.6995289891218588,1.0869851488731617,0.006706303826931825,0.017240689854490343,0.041994761156685434
1.33,52.3965232113432,81.94870478916617,10.841139253183968,10.400316430358037,4.598013971042848,4.504993704622121,1.711984681077598,1.0707009573161834,0.004648942289364522,0.018814698941222674,0.04398467046551163
1.34,52.90587592356036,81.94870478916617,10.798724896345975,10.400316430358037,4.534692708048155,4.4380058833292875,1.6617439896407538,1.0547799751596105,0.006773482661372454,0.02078038556679318,0.04565127930953883
1.35,53.40028261531927,81.94870478916617,10.682067294510842,10.400316430358037,4.471330543711946,4.37250116000333,1.5968741547074172,1.0392114806016992,0.006323284924936362,0.022032382682253826,0.04556674194582089
1.36,53.9016940693655,81.94870478916617,10.73055634300782,10.400316430358037,4.388797047649347,4.308436074884336,1.5669480645832092,1.0239851445699593,0.006006121669402842,0.026082387811337537,0.050978076601467026
1.37,54.40664006081269,81.94870478916617,11.245956388868317,10.400316430358037,4.186273965522954,4.245768748524732,1.634544016625335,1.0090910135844195,0.005025084084963022,0.02365358146329566,0.04811053384669617
1.38,54.90428231624938,81.94870478916617,10.813911264221636,10.400316430358037,4.217089161873961,4.18445881333022,1.5099205537545122,0.9945194934869762,0.006618401712150113,0.029173009964596708,0.05371018474645628
1.39,55.4106602136408,81.94870478916617,11.089179832210018,10.400316430358037,4.073267319358009,4.124467348535827,1.529127696580059,0.9802613339871629,0.007000484761084724,0.03196481736646939,0.05711099723075169
1.4,55.90653134791759,81.94870478916617,10.897295793220287,10.400316430358037,4.030798622539149,4.065756818421465,1.4635040396913124,0.9663076139778558,0.007612048071673816,0.031287995396060475,0.05638917179190972
